@relation training_set

@attribute ISBAD {FALSE,TRUE}
@attribute HTML_NUMCHARACTERS numeric
@attribute HTML_PERCENTSCRIPTCONTENT numeric
@attribute HTML_PERCENTWHITESPACE numeric
@attribute HTML_PERCENTUNOWNELEMENTS numeric
@attribute HTML_NUMSCRIPTS numeric
@attribute HTML_NUMSCRIPTSWRONGEXTENTION numeric
@attribute HTML_NUMBERIFRAMES numeric
@attribute HTML_NUMUNSAFEINCLUDEDURL numeric
@attribute IP_ADDRESS_A numeric
@attribute TOKEN_SUBDOMAIN_LENGTH numeric
@attribute TOKEN_NUMBER_SUBDOMAINS numeric
@attribute TOKEN_DOMAIN_LENGTH numeric

@data
TRUE,17,0,11.764706,0,0,0,0,0,66,0,0,13
TRUE,17,0,11.764706,0,0,0,0,0,69,0,0,14
TRUE,17,0,11.764706,0,0,0,0,0,216,0,0,25
TRUE,17,0,11.764706,0,0,0,0,0,198,0,0,12
TRUE,17,0,11.764706,0,0,0,0,0,208,0,0,13
TRUE,17,0,11.764706,0,0,0,0,0,208,0,0,14
TRUE,17,0,11.764706,0,0,0,0,0,72,0,0,18
TRUE,17,0,11.764706,0,0,0,0,0,208,0,0,14
TRUE,17,0,11.764706,0,0,0,0,0,69,0,0,17
TRUE,17,0,11.764706,0,0,0,0,0,66,0,0,14
TRUE,17,0,11.764706,0,0,0,0,0,69,0,0,15
TRUE,17,0,11.764706,0,0,0,0,0,208,0,0,12
TRUE,17,0,11.764706,0,0,0,0,0,216,0,0,14
TRUE,17,0,11.764706,0,0,0,0,0,63,0,0,13
TRUE,17,0,11.764706,0,0,0,0,0,69,0,0,20
TRUE,17,0,11.764706,0,0,0,0,0,63,0,0,14
TRUE,17,0,11.764706,0,0,0,0,0,64,0,0,11
TRUE,17,0,11.764706,0,0,0,0,0,66,0,0,13
TRUE,17,0,11.764706,0,0,0,0,0,66,0,0,12
TRUE,17,0,11.764706,0,0,0,0,0,69,0,0,14
TRUE,17,0,11.764706,0,0,0,0,0,66,0,0,14
TRUE,17,0,11.764706,0,0,0,0,0,204,0,0,12
TRUE,18,0,0,0,0,0,0,0,194,0,0,21
TRUE,18,0,5.555556,0,0,0,0,0,65,0,0,14
TRUE,18,0,5.555556,0,0,0,0,0,74,5,1,11
TRUE,19,0,0,0,0,0,0,0,217,0,0,12
TRUE,19,0,0,0,0,0,0,0,89,0,0,19
TRUE,19,0,10.526316,0,0,0,0,0,1,0,0,12
TRUE,20,0,10,0,0,0,0,0,223,3,1,15
TRUE,20,0,0,0,0,0,0,0,82,0,0,21
TRUE,20,0,0,0,0,0,0,0,82,0,0,20
TRUE,20,0,0,0,0,0,0,0,82,0,0,20
TRUE,20,0,0,0,0,0,0,0,82,0,0,21
TRUE,21,0,14.285714,0,0,0,0,0,74,0,0,10
TRUE,23,0,13.043478,0,0,0,0,0,184,0,0,24
TRUE,23,0,13.043478,0,0,0,0,0,184,0,0,24
TRUE,23,0,13.043478,0,0,0,0,0,184,0,0,24
TRUE,23,0,13.043478,0,0,0,0,0,184,0,0,24
TRUE,23,0,8.695652,0,0,0,0,0,?,14,2,5
TRUE,23,0,4.347826,0,0,0,0,0,178,0,0,22
TRUE,24,0,8.333333,0,0,0,0,0,?,15,2,5
TRUE,24,0,16.666667,0,0,0,0,0,64,0,0,10
TRUE,24,0,20.833333,0,0,0,0,0,67,0,0,14
FALSE,25,0,4,0,0,0,0,0,176,0,0,8
TRUE,26,0,7.692308,0,0,0,0,0,188,0,0,15
TRUE,26,0,7.692308,0,0,0,0,0,188,0,0,15
FALSE,26,0,7.692308,0,0,0,0,0,?,20,3,5
TRUE,27,0,14.814815,0,0,0,0,0,?,0,0,0
TRUE,27,0,14.814815,0,0,0,0,0,?,0,0,0
TRUE,28,0,14.285714,0,0,0,0,0,64,0,0,12
TRUE,28,0,7.142857,0,0,0,0,0,75,0,0,9
TRUE,30,0,16.666667,0,0,0,0,0,69,0,0,28
TRUE,31,0,12.903226,0,0,0,0,0,212,0,0,13
FALSE,32,0,6.25,0,0,0,0,0,?,0,0,10
TRUE,32,0,18.75,0,0,0,0,0,94,0,0,26
TRUE,33,0,6.060606,0,0,0,0,0,82,0,0,13
TRUE,33,0,6.060606,0,0,0,0,0,82,0,0,14
TRUE,33,0,12.121212,0,0,0,0,0,216,0,0,14
TRUE,33,0,18.181818,0,0,0,0,0,70,0,0,15
TRUE,34,0,23.529412,0,0,0,0,0,64,0,0,16
TRUE,34,0,17.647059,0,0,0,0,0,129,0,0,14
TRUE,34,0,23.529412,0,0,0,0,0,64,0,0,22
TRUE,34,0,23.529412,0,0,0,0,0,64,0,0,11
TRUE,34,0,23.529412,0,0,0,0,0,64,0,0,11
TRUE,34,0,23.529412,0,0,0,0,0,64,0,0,13
TRUE,34,0,23.529412,0,0,0,0,0,64,0,0,16
TRUE,34,0,23.529412,0,0,0,0,0,64,0,0,12
TRUE,34,0,23.529412,0,0,0,0,0,64,0,0,20
TRUE,34,0,23.529412,0,0,0,0,0,64,0,0,19
TRUE,34,0,23.529412,0,0,0,0,0,64,0,0,12
TRUE,34,0,23.529412,0,0,0,0,0,64,0,0,19
TRUE,34,0,23.529412,0,0,0,0,0,64,0,0,17
TRUE,34,0,23.529412,0,0,0,0,0,64,0,0,19
TRUE,34,0,23.529412,0,0,0,0,0,64,0,0,18
TRUE,34,0,23.529412,0,0,0,0,0,64,0,0,18
TRUE,34,0,23.529412,0,0,0,0,0,64,0,0,17
TRUE,34,0,23.529412,0,0,0,0,0,64,0,0,15
TRUE,34,0,23.529412,0,0,0,0,0,64,0,0,13
TRUE,34,0,23.529412,0,0,0,0,0,64,0,0,20
TRUE,34,0,23.529412,0,0,0,0,0,64,0,0,20
TRUE,34,0,23.529412,0,0,0,0,0,64,0,0,10
TRUE,34,0,23.529412,0,0,0,0,0,64,0,0,19
TRUE,34,0,23.529412,0,0,0,0,0,64,0,0,16
TRUE,34,0,23.529412,0,0,0,0,0,64,0,0,20
TRUE,34,0,23.529412,0,0,0,0,0,64,0,0,10
TRUE,34,0,23.529412,0,0,0,0,0,64,0,0,14
TRUE,34,0,23.529412,0,0,0,0,0,64,0,0,16
TRUE,34,0,23.529412,0,0,0,0,0,64,0,0,13
